full_name,eai_url,link,pdf_link,publication_date,data_source,publication,title,eai_match,affiliation,type,citations,venue,matches
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/1605.09432v1,http://arxiv.org/pdf/1605.09432v1,2016-05-30 22:05:36,arxiv,arxiv,Evaluating Crowdsourcing Participants in the Absence of Ground-Truth,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/1203.3529v1,http://arxiv.org/pdf/1203.3529v1,2012-03-15 11:17:56,arxiv,arxiv,"Modeling Multiple Annotator Expertise in the Semi-Supervised Learning
  Scenario",False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/1704.06408v1,http://arxiv.org/pdf/1704.06408v1,2017-04-21 06:13:05,arxiv,arxiv,"Subject-Specific Abnormal Region Detection in Traumatic Brain Injury
  Using Sparse Model Selection on High Dimensional Diffusion Data",False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2006.08539v6,http://arxiv.org/pdf/2006.08539v6,2022-02-09 17:42:52,arxiv,arxiv,Deep Layer-wise Networks Have Closed-Form Weights,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2011.03320v2,http://arxiv.org/pdf/2011.03320v2,2020-11-09 23:27:51,arxiv,arxiv,Kernel Dependence Network,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2106.07035v1,http://arxiv.org/pdf/2106.07035v1,2021-06-13 16:24:44,arxiv,arxiv,Deep Bayesian Unsupervised Lifelong Learning,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2202.01210v2,http://arxiv.org/pdf/2202.01210v2,2022-02-07 17:09:03,arxiv,arxiv,Deep Layer-wise Networks Have Closed-Form Weights,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2109.14688v1,http://arxiv.org/pdf/2109.14688v1,2021-09-29 19:50:06,arxiv,arxiv,"Reliable Estimation of KL Divergence using a Discriminator in
  Reproducing Kernel Hilbert Space",False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/2302.00753v1,http://arxiv.org/pdf/2302.00753v1,2023-02-02 16:55:12,arxiv,arxiv,High-precision regressors for particle physics,False,,pre-print,0,,
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,http://arxiv.org/abs/1909.05097v1,http://arxiv.org/pdf/1909.05097v1,2019-09-06 20:41:04,arxiv,arxiv,"Spectral Non-Convex Optimization for Dimension Reduction with
  Hilbert-Schmidt Independence Criterion",False,,pre-print,0,,
